"amenity","latitude","longitude","type"
"Blk 638",1.375906714,103.9410494,"Bus Stop"
"Serangoon Mrt",1.350031248,103.8738196,"Train"
"Aft Serangoon Gdn Way",1.361339979,103.8736346,"Bus Stop"
"Giant(Kovan Centre)",1.354526823,103.8769905,"Market"
"Anderson Jc",1.377209444,103.8462822,"Bus Stop"
"Bef Ang Mo Kio Lib",1.376284989,103.844983,"Bus Stop"
"Opp Blk 233",1.375131358,103.9621203,"Bus Stop"
"Bet Blks 232/233",1.374859688,103.9620005,"Bus Stop"
"Ntuc Fairprice (Junction 8)",1.350481977,103.8487608,"Market"
"Opp Xinmin Pr Sch",1.370638355,103.8824452,"Bus Stop"
"Xinmin Pr Sch",1.370951633,103.8823957,"Bus Stop"
"Carissa Pk",1.35996,103.9647369,"Bus Stop"
"Blk 443",1.365741674,103.8560862,"Bus Stop"
"Opp Blk 627",1.368628701,103.8820085,"Bus Stop"
"Tongkang Lrt",1.38940536,103.8857942,"Train"
"Giant(Buangkok Crescent)",1.380828992,103.8793328,"Market"
"Opp Ang Mo Kio Pr Sch",1.36995608,103.8395934,"Bus Stop"
"Opp Glad Tidings Ch",1.362591667,103.8875481,"Bus Stop"
"Glad Tidings Ch",1.362191667,103.8875228,"Bus Stop"
"Blk 248",1.359789173,103.8929602,"Bus Stop"
"Opp Blk 248",1.359780726,103.8933246,"Bus Stop"
"Opp Blk 230",1.372464739,103.9605378,"Bus Stop"
"Aft Ballota Pk",1.359236944,103.9684569,"Bus Stop"
"Chuan Terr",1.362399722,103.86776,"Bus Stop"
"Bet Blks 544/546",1.37820828,103.8926806,"Bus Stop"
"Bartley Mrt",1.342596567,103.8796731,"Train"
"Paya Lebar Girls' Sch",1.351494732,103.885312,"Bus Stop"
"Mayflower Sec Sch",1.368612222,103.8363483,"Bus Stop"
"Blk 627",1.369136023,103.8813222,"Bus Stop"
"Bef Mariam Wk",1.359306111,103.9684911,"Bus Stop"
"Blk 643",1.377418308,103.937932,"Bus Stop"
"Blk 108",1.367800025,103.9567381,"Bus Stop"
"Blk 489b",1.361640056,103.9574003,"Bus Stop"
"Blk 487b",1.359708269,103.9582372,"Bus Stop"
"Opp Blk 487b",1.359670158,103.9584245,"Bus Stop"
"Blk 452",1.369103032,103.8561505,"Bus Stop"
"Whitley Sec Sch",1.355481111,103.8416123,"Bus Stop"
"Opp Whitley Sec Sch",1.355665008,103.8413271,"Bus Stop"
"Giant(Thomson Imperial Court)",1.351769141,103.8360677,"Market"
"Blk 479",1.375457812,103.9579863,"Bus Stop"
"Opp Blk 479",1.37568,103.9579661,"Bus Stop"
"Blk 640",1.375994395,103.9398611,"Bus Stop"
"Opp Blk 489a",1.361878204,103.9573982,"Bus Stop"
"Blk 436",1.376999957,103.8936608,"Bus Stop"
"Blk 438",1.37811157,103.8929649,"Bus Stop"
"Toa Payoh Mrt",1.332694254,103.8469101,"Train"
"Novena Mrt",1.320300318,103.8432244,"Train"
"Mount Pleasant Mrt Due 2021",1.328358,103.835144,"Train"
"Opp Easb",1.327496177,103.8457862,"Bus Stop"
"Zhongshan Mall",1.326633889,103.84641,"Bus Stop"
"Opp Zhongshan Mall",1.326404021,103.8464203,"Bus Stop"
"Ntuc Fairprice (Zhongshan Mall)",1.326944378,103.846554,"Market"
"Ntuc Fairprice (Shaw Plaza)",1.324851727,103.8513082,"Market"
"Ntuc Fairprice (Toa Payoh Hdb Hub)",1.333013681,103.8470682,"Market"
"Balestier Hill Shopping Centre",1.325895544,103.8429351,"Shopping Mall"
"Shaw Plaza - Twin Heights",1.325199247,103.8510166,"Shopping Mall"
"Holland Village Mrt",1.312240296,103.7963991,"Train"
"Commonwealth Mrt",1.302465404,103.7981909,"Train"
"Farrer Road Mrt",1.317351117,103.8078146,"Train"
"Viz Holland",1.308519722,103.8025803,"Bus Stop"
"Opp Holland Hill Lodge",1.309461355,103.8033409,"Bus Stop"
"Blk 97",1.306213056,103.8017094,"Bus Stop"
"Cold Storage Holland Village",1.310255419,103.7953504,"Market"
"Sheng Siong Hypermarket(Tanglin Halt)",1.301785064,103.7982264,"Market"
"Ntuc Fairprice (Buona Vista Cc)",1.309181452,103.7925472,"Market"
"Holland Road Shopping Centre",1.310254752,103.7953501,"Shopping Mall"
"The Star Vista",1.306969774,103.7884199,"Shopping Mall"
"Rochester Mall",1.305350546,103.788347,"Shopping Mall"
"Beauty World Mrt",1.341569,103.775761,"Train"
"King Albert Park Mrt",1.335596,103.783883,"Train"
"Aft Jln Jurong Kechil",1.34027048,103.7701606,"Bus Stop"
"Bef Jln Jurong Kechil",1.340568056,103.7706058,"Bus Stop"
"Aft Toh Tuck Terr",1.339432222,103.7682739,"Bus Stop"
"Giant(Beauty World Centre)",1.342412642,103.7765394,"Market"
